saturated steam							
http://www.engineeringtoolbox.com/saturated-steam-properties-d_101.html							
P	T	v	r	hf	hg	hfg	s
(kPa)	(C)	(m3/kg)	(kg/m3)	(kJ/kg)	(kJ/kg)	(kJ/kg)	(kJ/kgK)
0.8	3.8	160	0.00626	15.8	2509	2493	9.058
2	17.5	67	0.0149	73.5	2534	2460	8.725
5	32.9	28.2	0.0354	137.8	2562	2424	8.396
10	45.8	14.7	0.0682	191.8	2585	2393	8.151
20	60.1	7.65	0.131	251.5	2610	2358	7.909
28	67.5	5.58	0.179	282.7	2623	2340	7.793
35	72.7	4.53	0.221	304.3	2632	2327	7.717
45	78.7	3.58	0.279	329.6	2642	2312	7.631
55	83.7	2.96	0.338	350.6	2650	2299	7.562
65	88	2.53	0.395	368.6	2657	2288	7.506
75	91.8	2.22	0.45	384.5	2663	2279	7.457
85	95.2	1.97	0.507	398.6	2668	2270	7.415
95	98.2	1.78	0.563	411.5	2673	2262	7.377
100	99.6	1.69	0.59	417.5	2675	2258	7.36
101.33	100	1.67	0.598	419.1	2676	2257	7.355
110	102.3	1.55	0.646	428.8	2680	2251	7.328
130	107.1	1.33	0.755	449.2	2687	2238	7.271
150	111.4	1.16	0.863	467.1	2698	2226	7.223
170	115.2	1.03	0.97	483.2	2699	2216	7.181
190	118.6	0.929	1.08	497.8	2704	2206	7.144
220	123.3	0.81	1.23	517.6	2711	2193	7.095
260	128.7	0.693	1.44	540.9	2718	2177	7.039
280	131.2	0.646	1.55	551.4	2722	2170	7.014
320	135.8	0.57	1.75	570.9	2728	2157	6.969
360	139.9	0.51	1.96	588.5	2733	2144	6.93
400	143.1	0.462	2.16	604.7	2738	2133	6.894
440	147.1	0.423	2.36	619.6	2742	2122	6.862
480	150.3	0.389	2.57	633.5	2746	2112	6.833
500	151.8	0.375	2.67	640.1	2748	2107	6.819
550	155.5	0.342	2.92	655.8	2752	2096	6.787
600	158.8	0.315	3.175	670.4	2756	2085	6.758
650	162	0.292	3.425	684.1	2759	2075	6.73
700	165	0.273	3.66	697.1	2762	2065	6.705
750	167.8	0.255	3.915	709.3	2765	2056	6.682
800	170.4	0.24	4.16	720.9	2768	2047	6.66
850	172.9	0.229	4.41	732	2770	2038	6.639
900	175.4	0.215	4.65	742.6	2772	2030	6.619
950	177.7	0.204	4.9	752.8	2774	2021	6.601
1000	179.9	0.194	5.15	762.6	2776	2014	6.583
1050	182	0.186	5.39	772	2778	2006	6.566
1150	186	0.17	5.89	790	2781	1991	6.534
1250	189.8	0.157	6.38	807	2784	1977	6.505
1300	191.6	0.151	6.62	815	2785	1971	6.491
1500	198.3	0.132	7.59	845	2790	1945	6.441
1600	201.4	0.124	8.03	859	2792	1933	6.418
1800	207.1	0.11	9.07	885	2795	1910	6.375
2000	212.4	0.0995	10.01	909	2797	1889	6.337
2100	214.9	0.0945	10.54	920	2798	1878	6.319
2300	219.6	0.0868	11.52	942	2800	1858	6.285
2400	221.8	0.0832	12.02	952	2800	1849	6.269
2600	226	0.0769	13.01	972	2801	1830	6.239
2700	228.1	0.074	13.52	981	2802	1821	6.224
2900	232	0.0689	14.52	1000	2802	1803	6.197
3000	233.8	0.0666	15	1008	2802	1794	6.184
3200	237.4	0.0624	16.02	1025	2802	1779	6.158
3400	240.9	0.0587	17.04	1042	2802	1760	6.134
3600	244.2	0.0554	18.06	1058	2802	1744	6.112
3800	247.3	0.0524	19.08	1073	2801	1728	6.09
4000	250.3	0.0497	20.09	1087	2800	1713	6.069
